"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1121","T29: Create a task with an invalid date format.","tests","2026-09-11","passed","2026-09-11","TestTaskManagement","test_task_management","",""
"","1086","T15: Refresh tokens.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","1570","T34: Update an existing task with an invalid category.","tests","2026-09-11","failed","2026-09-11","TestTaskManagement","test_task_management","",""
"","1100","T23: Get the list of tasks.","tests","2026-09-11","passed","2026-09-11","TestTaskManagement","test_task_management","",""
"","640","T03: Create a new user with an invalid password.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","465","T10: Log in with an invalid email.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","1560","T30: Update an existing task with valid data.","tests","2026-09-11","passed","2026-09-11","TestTaskManagement","test_task_management","",""
"","1118","T16: Get current user info.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","1212","T20: Update user info with an invalid email.","tests","2026-09-11","failed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","1088","T25: Create a task with an invalid priority.","tests","2026-09-11","passed","2026-09-11","TestTaskManagement","test_task_management","",""
"","1076","T24: Create a task with an empty title.","tests","2026-09-11","passed","2026-09-11","TestTaskManagement","test_task_management","",""
"","1106","T26: Create a task with an invalid category.","tests","2026-09-11","passed","2026-09-11","TestTaskManagement","test_task_management","",""
"","528","T09: Log in with a valid email that is not registered.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","707","T02: Create a new user with an invalid email.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","1281","T04: Create a new user with an already existing email.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","1127","T22: Create a task with valid data.","tests","2026-09-11","passed","2026-09-11","TestTaskManagement","test_task_management","",""
"","2104","T36: Delete a task that has already been deleted.","tests","2026-09-11","passed","2026-09-11","TestTaskManagement","test_task_management","",""
"","1141","T19: Update user info with an empty name.","tests","2026-09-11","failed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","1094","T27: Create a task without start/end fields.","tests","2026-09-11","passed","2026-09-11","TestTaskManagement","test_task_management","",""
"","463","T06: Create a new user without a name.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","854","T08: Log in with valid email and password.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","1071","T21: Update user info with an invalid token.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","1621","T33: Update an existing task with an invalid priority.","tests","2026-09-11","failed","2026-09-11","TestTaskManagement","test_task_management","",""
"","449","T05: Create a new user without a password.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","1088","T13: Log out from the account.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","445","T12: Log in without a password.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","2169","T37: Attempt to delete another user's task.","tests","2026-09-11","failed","2026-09-11","TestTaskManagement","test_task_management","",""
"","842","T01: Create a new user with a valid email, password, and name.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","1667","T35: Delete one of the existing tasks.","tests","2026-09-11","passed","2026-09-11","TestTaskManagement","test_task_management","",""
"","593","T11: Log in with an invalid password.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","1086","T14: Log out with an invalid token.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","453","T07: Create a new user without a email.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","1620","T32: Update an existing task with an invalid time.","tests","2026-09-11","failed","2026-09-11","TestTaskManagement","test_task_management","",""
"","2268","T38: Attempt to update a task that belongs to another user.","tests","2026-09-11","failed","2026-09-11","TestTaskManagement","test_task_management","",""
"","1701","T31: Update an existing task with an empty title.","tests","2026-09-11","failed","2026-09-11","TestTaskManagement","test_task_management","",""
"","1078","T17: Get current user info with an invalid token.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
"","1131","T28: Create a task with an invalid time.","tests","2026-09-11","failed","2026-09-11","TestTaskManagement","test_task_management","",""
"","1193","T18: Update user info with valid data.","tests","2026-09-11","passed","2026-09-11","TestUserAuthentication","test_user_authentication","",""
